Mg25_ppm,P31_ppm,Sr88_ppm,Y89_ppm,Ba137_ppm,Pb208_ppm,U238_ppm,dft_mm,Age_cal_yr_bp
1139.744457,70.16619288,19.24901138,0.180628867,5.273705475,0.129606755,0.100136442,30.36266835,65240
1138.822226,57.81237514,17.62044161,0.180648028,5.30419358,0.04,0.048996239,30.38725741,65242
1103.112407,58.26194529,18.48274753,0.172976011,5.25831549,0.04,0.025,30.41184671,65243
1118.153734,65.6260978,18.72934386,0.117483192,5.548230479,0.04,0.025,30.4357125,65243
1210.708488,62.56270742,16.98872304,0.055482886,6.053812358,0.04,0.062623771,30.45957859,65244
1308.717915,55.27595941,15.15994761,0.013551734,5.446905855,0.04,0.091584542,30.48416753,65245
1360.180707,48.96267208,14.82157704,0.005,3.798880058,0.04,0.066394252,30.50875682,65247
1407.664555,50.09977301,14.31353375,0.011253332,3.166999263,0.04,0.03334803,30.53334588,65248
1404.279532,54.02122009,15.78724177,0.03730705,3.654702271,0.04,0.054057427,30.55793506,65249
1353.955805,63.12537547,17.2920311,0.079812075,4.120430448,0.04,0.038901989,30.581801,65250
1368.420431,61.24279859,16.49138545,0.089591912,4.145722849,0.04,0.025,30.60566694,65250
1438.546832,52.52684577,14.78642314,0.04615177,3.648226436,0.04,0.025,30.630256,65251
1490.894313,51.06799943,14.36445287,0.030465187,3.386631298,0.04,0.025,30.65484518,65252
1471.36159,61.35385916,14.25186239,0.040070724,3.509293337,0.04,0.070179375,30.67943435,65253
1485.931049,61.0480906,14.39363073,0.049346128,4.486641883,1.1442262,0.261582781,30.70402341,65255
1528.367953,51.58996547,15.43477553,0.058857283,5.441194792,1.193914727,0.286548103,30.72861271,65256
1476.683573,53.84600241,15.79244303,0.062551494,5.331358638,0.04,0.091410975,30.75320176,65257
1412.048017,57.74664819,14.86246345,0.039641237,5.142671849,0.04,0.025,30.77779082,65258
1384.441503,52.82646038,15.32451898,0.053596499,5.437219213,0.04,0.025,30.80238,65259
1302.846674,48.56433397,18.24265368,0.081706034,6.48266923,0.04,0.025,30.82696918,65260
1198.704718,49.75120985,22.7081007,0.091369983,8.262131253,0.04,0.05391564,30.85155835,65261
1188.282405,46.84161235,25.80377382,0.063283358,10.31215142,0.04,0.06446959,30.87614741,65262
1164.76852,44.87911463,26.763557,0.051525317,10.54353604,0.04,0.05230105,30.90073671,65263
1149.923961,45.66637347,26.4037146,0.06520335,10.14954139,0.04,0.044816989,30.92532565,65264
1162.0908,47.32503987,26.46816077,0.094807171,10.22552211,0.04,0.039105393,30.94991482,65265
1172.135992,50.34345346,26.29880934,0.101626746,10.45452398,0.04,0.025,30.974504,65265
1134.038679,51.9584052,25.64724184,0.099332912,9.746500532,0.04,0.111697892,30.99909318,65266
1118.097241,52.8775772,24.63872469,0.113147101,9.263757083,0.04,0.260537918,31.02368235,65267
1119.245773,60.49361524,23.78146245,0.150609786,9.516791566,0.04,0.225787486,31.04827141,65268
1123.501862,68.69199566,23.24801937,0.179087941,9.462435318,0.158327021,0.091858205,31.07358378,65270
1119.328789,66.67701555,23.88081386,0.153176909,9.131581679,0.04,0.100152879,31.09889612,65271
1073.612161,61.48107361,24.75805602,0.156327484,9.170988946,0.04,0.071102168,31.12348518,65272
1077.001832,65.57176049,23.71897964,0.212726542,8.855504276,0.04,0.077830421,31.14807447,65273
1145.778768,73.16969096,21.18450216,0.206490022,7.917354341,0.04,0.075253586,31.17266353,65273
1262.774338,75.09469413,19.07804939,0.118894457,6.956676382,0.04,0.054152783,31.197976,65275
1331.379889,81.84410051,17.37443154,0.102442503,6.34179014,0.04,0.109525603,31.22328835,65276
1386.874812,81.07240892,16.53849636,0.131036929,6.361908534,0.04,0.116766773,31.24787729,65277
1423.424707,70.64862152,16.5353038,0.120053216,6.465774601,0.04,0.04422846,31.27246659,65277
1423.398221,59.00651961,18.19334716,0.076150899,7.296662563,0.04,0.025,31.29777889,65279
1387.719529,56.11915089,19.85696239,0.065344876,7.965636537,0.04,0.025,31.32309118,65280
1398.242729,53.06053025,20.08076287,0.091281155,7.466401979,0.04,0.026139529,31.34768047,65281
1396.043207,50.67921708,19.31562897,0.101541796,8.162196622,0.04,0.048041394,31.37226953,65281
1255.880341,49.02545858,20.17769172,0.065070748,9.224450872,0.04,0.062414251,31.39758189,65282
1104.880775,49.93019017,22.7763273,0.095554505,9.260604049,0.04,0.061837185,31.42289424,65284
1010.307887,53.84508492,24.83072113,0.178482506,9.137877483,0.04,0.053013515,31.44820656,65285
968.9020059,57.48476248,25.3438531,0.163948841,9.972884245,0.04,0.058846574,31.47351894,65286
980.9357245,52.9840814,24.88328367,0.051235774,9.919968207,0.04,0.058752807,31.49810812,65286
1034.929053,48.92908671,23.87546525,0.119417493,9.667914013,0.04,0.054376298,31.52342033,65287
988.1417527,58.47643033,24.58327402,0.281177489,10.39869433,0.04,0.070356326,31.54873282,65289
957.2443389,65.25450559,25.10696985,0.388974648,10.27164531,0.04,0.099757751,31.57404511,65290
1029.134389,58.40274877,23.71444823,0.284064918,9.037891072,0.04,0.088657394,31.59935741,65291
1147.737772,50.92848081,24.16784402,0.148117793,8.959924897,0.04,0.04124551,31.62466989,65292
1194.384772,52.54576899,26.07700412,0.055165804,9.151866432,0.04,0.040673011,31.64998224,65293
1173.296462,55.49904257,26.02383363,0.077645234,8.606351987,0.04,0.055448318,31.67529444,65294
1150.817438,52.34513798,25.13133563,0.081122367,8.406104278,0.04,0.046879063,31.70060682,65295
1181.874222,45.25631416,25.00986839,0.080177967,9.282248119,0.04,0.037055923,31.72591922,65296
1212.531698,44.91272163,26.65296104,0.056611861,10.11727183,0.04,0.059512198,31.75123153,65297
1210.161681,44.9081432,27.12838952,0.0534366,10.06191474,0.04,0.087622126,31.776544,65298
1200.104283,49.07496359,25.86730278,0.058526874,8.974399527,0.04,0.085429386,31.80185635,65298
1196.517431,49.79572595,23.45898682,0.063655503,7.673964195,0.04,0.059674753,31.82716856,65299
1235.55541,46.90618907,22.65036493,0.062645826,7.54625112,0.04,0.046008553,31.85320411,65301
1298.220553,49.27580227,21.9547381,0.069620549,7.751051667,0.04,0.057789552,31.87851659,65302
1356.586987,54.4192552,21.66938579,0.085116839,7.219483495,0.04,0.06515813,31.90382889,65302
1372.612724,51.93720785,20.50658866,0.086360173,6.332706619,0.04,0.057032456,31.92986444,65304
1379.692583,45.64326138,19.67704425,0.0710992,6.053015806,0.04,0.056642623,31.95517682,65305
1456.749618,50.55373427,19.35897982,0.052303329,6.339370295,0.04,0.057190151,31.98048911,65305
1547.742093,52.5442197,19.92000358,0.03796328,6.335392883,0.04,0.043209979,32.00652467,65307
1551.289341,49.1303942,19.77264845,0.028665084,6.027002343,0.04,0.039510495,32.03183706,65307
1505.673607,48.79709145,19.13830167,0.045049655,5.872000244,0.04,0.040176877,32.05714944,65308
1454.341269,48.25201924,19.85174148,0.054967903,5.730737891,0.04,0.084623662,32.083185,65309
1367.031204,52.34569892,20.29019342,0.056384882,6.302005411,0.04,0.102208837,32.10922044,65311
1330.836629,58.45998171,19.75241521,0.06082914,7.310451491,0.04,0.162835648,32.13453282,65312
1381.339761,52.996146,19.2091327,0.042238047,6.730264003,0.04,0.161250772,32.15984522,65312
1483.43089,44.36988611,18.66653919,0.01733594,5.281535252,0.04,0.088049767,32.18588078,65314
1444.425731,46.54481895,18.27515709,0.017107689,5.394517463,0.04,0.025,32.21119318,65314
1380.386711,49.54885417,17.55786639,0.020698796,5.284466159,0.04,0.043038383,32.23650556,65315
1313.70669,47.43489194,17.51397023,0.031314697,4.877792419,0.04,0.037392606,32.26254111,65316
1207.980721,41.80469279,20.81386202,0.050928239,6.648541173,0.04,0.050619206,32.28857656,65318
1132.308528,41.90527166,23.26952502,0.076005688,8.052762563,0.04,0.063542684,32.31388894,65319
1109.347496,47.15929913,21.67792825,0.073142927,7.186706583,0.04,0.073125203,32.33920133,65319
1077.796522,50.13461076,20.65888701,0.064036936,6.501306652,0.04,0.08310982,32.36523689,65321
1176.87916,47.09537497,18.9061683,0.048889675,6.368391021,0.04,0.071376067,32.39127244,65322
1287.600871,49.04192798,16.14138923,0.03498337,5.098221681,0.04,0.03482891,32.41658482,65323
1290.974977,55.5270578,16.02179816,0.02472486,4.601704096,0.04,0.025662304,32.44189711,65323
1256.832736,55.73786581,16.93021062,0.026466041,5.169798309,0.04,0.12613362,32.46793267,65325
1222.086831,50.81387681,16.37944942,0.064033413,5.030704487,0.04,0.154670119,32.49324506,65325
